Max Sharpe Ratio,Optimal Weights,Confidence Interval,MPI Wall Time,OMP Wall Time,OMP Threads,MPI Ranks
0.463795,0.195349 0.0606493 0.162566 0.171375 0.236383 0.173677,0.0136733,6.03494,0.00119926,2,2
0.0791399,0.191451 0.31165 0.258199 0.0627065 0.0262619 0.149732,0.0115082,6.03494,0.00119926,2,2
0.36734,0.008469 0.226497 0.0676013 0.305685 0.162488 0.22926,0.014806,6.03494,0.00119926,2,2
0.235452,0.0814146 0.272292 0.250595 0.0817134 0.130837 0.183148,0.013687,6.03494,0.00119926,2,2
0.479025,0.173006 0.049916 0.186556 0.197129 0.251418 0.141976,0.0142489,6.03494,0.00119926,2,2
0.218149,0.015572 0.408327 0.13563 0.245599 0.165627 0.0292443,0.0141609,6.03494,0.00119926,2,2
0.140212,0.00511441 0.376806 0.165366 0.216274 0.021316 0.215124,0.0136988,6.03494,0.00119926,2,2
0.311205,0.0630555 0.247447 0.136945 0.0932463 0.194482 0.264825,0.0142058,6.03494,0.00119926,2,2
0.314679,0.24029 0.250947 0.0145183 0.231186 0.171897 0.0911615,0.0112486,6.03494,0.00119926,2,2
0.323692,0.20153 0.0780372 0.225078 0.247877 0.0218444 0.225633,0.0126525,6.03494,0.00119926,2,2
0.255782,0.148825 0.267622 0.228712 0.199548 0.132684 0.0226094,0.0127054,6.03494,0.00119926,2,2
0.210442,0.117993 0.246069 0.0118523 0.158585 0.0298843 0.435616,0.0129127,6.03494,0.00119926,2,2
0.259911,0.0389716 0.269863 0.269222 0.138078 0.1348 0.149065,0.0143664,6.03494,0.00119926,2,2
0.33824,0.112182 0.116968 0.150556 0.267694 0.0480013 0.304599,0.0137143,6.03494,0.00119926,2,2
0.366566,0.219529 0.11314 0.180739 0.262322 0.099788 0.124482,0.0121679,6.03494,0.00119926,2,2
0.352513,0.295353 0.0573537 0.101782 0.232078 0.0391072 0.274326,0.0112184,6.03494,0.00119926,2,2
0.246867,0.07734 0.239694 0.140282 0.312953 0.0133333 0.216398,0.013226,6.03494,0.00119926,2,2
0.228161,0.248359 0.231742 0.194351 0.210194 0.07782 0.0375345,0.0110004,6.03494,0.00119926,2,2
